target_id	length	eff_length	est_counts	tpm
Smp_141320.1	1260	1092.57	391	33.9346
Smp_035620.1	552	384.716	216	53.239
Smp_193250.1	303	141.211	41	27.5317
Smp_141330.1	1172	1004.57	322	30.3942
Smp_141340.1	279	119.464	5	3.96871
Smp_035640.1	294	132.977	5	3.5654
Smp_035650.1	1236	1068.57	49	4.34818
Smp_141350.1	2799	2631.57	54	1.94578
Smp_141360.1	3870	3702.57	467	11.96
Smp_188100.1	150	26.5823	18	64.2091
Smp_210790.1	729	561.573	1087	183.544
Smp_210800.1	1440	1272.57	38	2.8315
Smp_141380.1	2150	1982.57	199	9.51788
Smp_035700.1	1287	1119.57	238	20.1577
Smp_141390.1	1347	1179.57	573	46.0623
Smp_141290.1	2025	1857.57	2391.83	122.096
Smp_141290.4	1545	1377.57	818.949	56.3713
Smp_141290.3	1377	1209.57	34.6191	2.71393
Smp_141290.2	1680	1512.57	0	0
Smp_141280.1	1134	966.573	176	17.2661
Smp_035500.1	735	567.573	120	20.0482
Smp_141270.1	2124	1956.57	156	7.5604
Smp_035480.1	678	510.626	831	154.317
Smp_035470.1	1689	1521.57	1698	105.818
Smp_141260.1	357	192.024	0	0
Smp_035460.1	1685	1517.57	206	12.8716
Smp_141250.1	2409	2241.57	46	1.9459
Smp_141240.1	2079	1911.57	164	8.13522
Smp_035430.1	1556	1388.57	58.1185	3.96882
Smp_035430.2	2201	2033.57	1474.88	68.7723
Smp_035410.1	1048	880.573	455	48.9962
Smp_035390.1	2215	2047.57	257	11.9017
Smp_035380.1	675	507.626	71	13.2627
Smp_035370.1	959	791.573	82	9.82288
Smp_035360.1	3071	2903.57	134	4.37611
Smp_141230.1	2241	2073.57	85	3.88701
Smp_141220.1	1959	1791.57	342	18.1012
Smp_035310.1	1829	1661.57	862	49.1931
Smp_035300.1	2930	2762.57	210.067	7.2104
Smp_035300.2	839	671.573	293.933	41.5023
Smp_035290.1	2218	2050.57	237	10.9595
Smp_035280.1	1621	1453.57	245	15.9825
Smp_035270.2	1050	882.573	1173.85	126.119
Smp_035270.1	1271	1103.57	522.146	44.865
Smp_035260.1	10866	10698.6	805.518	7.13947
Smp_035250.1	884	716.573	38	5.02851
Smp_035220.1	1782	1614.57	100	5.87298
Smp_035210.1	3327	3159.57	4742	142.315
Smp_035200.2	1471	1303.57	1108.2	80.6117
Smp_035200.1	1442	1274.57	1981.56	147.421
Smp_035200.4	1206	1038.57	2298.35	209.843
Smp_035200.3	1263	1095.57	15.8865	1.375
Smp_035190.2	4811	4643.57	182.353	3.72372
Smp_035190.1	8095	7927.57	468.532	5.60422
Smp_141190.1	390	224.141	25	10.5763
Smp_035180.1	855	687.573	67	9.24
Smp_035160.1	1104	936.573	53	5.366
Smp_035150.1	948	780.573	422	51.2643
Smp_035140.1	3732	3564.57	187	4.97451
Smp_035120.1	438	271.317	11	3.84442
Smp_141180.1	1074	906.573	82	8.57684
Smp_035110.1	3435	3267.57	544	15.7866
Smp_141170.1	255	98.8131	0	0
Smp_035090.1	3278	3110.57	253.333	7.72266
Smp_035090.3	3231	3063.57	0	0
Smp_035090.2	2583	2415.57	21.6675	0.850559
Smp_035080.1	549	381.716	137	34.0327
Smp_141160.1	888	720.573	52	6.84292
Smp_141150.1	2958	2790.57	511	17.3638
Smp_035040.1	967	799.573	178	21.1095
Smp_035030.1	4039	3871.57	878	21.5042
Smp_035020.1	1484	1316.57	14.9298	1.07529
Smp_035020.2	1729	1561.57	670.78	40.7318
Smp_035010.1	750	582.573	740	120.447
Smp_035000.1	455	288.177	152	50.015
Smp_141140.1	2255	2087.57	592	26.8903
Smp_034980.1	2637	2469.57	636.283	24.4312
Smp_034980.3	2665	2497.57	69.7169	2.64689
Smp_034980.2	2594	2426.57	0	0
Smp_141130.1	228	76.9855	0	0
Smp_141120.1	4932	4764.57	240	4.77643
Smp_141110.1	738	570.573	33	5.48427
Smp_141100.1	2283	2115.57	199	8.91951
Smp_034940.1	6091	5923.57	713.159	11.4161
Smp_034940.2	2355	2187.57	782.936	33.9375
Smp_034940.3	2457	2289.57	9.76938	0.404603
Smp_141080.1	1529	1361.57	91	6.33748
Smp_034920.1	10812	10644.6	123	1.0957
Smp_141070.1	4560	4392.57	301	6.49776
Smp_034870.1	11214	11046.6	1640.29	14.0803
Smp_034860.1	5454	5286.57	15	0.26905
Smp_034850.1	1353	1185.57	1755	140.367
Smp_034840.2	1637	1469.57	6439.18	415.485
Smp_034840.1	1673	1505.57	13217.5	832.457
Smp_034840.3	750	582.573	5035.37	819.59
Smp_141040.1	2934	2766.57	557	19.091
Smp_020450.1	2005	1837.57	565	29.1555
Smp_133280.1	1869	1701.57	668	37.2256
Smp_133270.1	2750	2582.57	828	30.4014
Smp_133260.1	252	96.3178	106	104.356
Smp_133250.1	3268	3100.57	290	8.86895
Smp_020400.1	1389	1221.57	176	13.6618
Smp_133230.1	1260	1092.57	89.2573	7.74657
Smp_133230.2	1213	1045.57	7.74267	0.702186
Smp_133220.1	156	29.7991	6	19.0925
Smp_020370.1	642	474.676	1000	199.765
Smp_020360.1	321	157.869	1694	1017.49
Smp_020340.1	3012	2844.57	467.085	15.5702
Smp_133210.1	2712	2544.57	190.915	7.11444
Smp_020300.1	3158	2990.57	368	11.6684
Smp_210400.1	750	582.573	322	52.4109
Smp_210410.1	963	795.573	932	111.084
Smp_020270.1	5100	4932.57	495	9.51586
Smp_133180.1	3875	3707.57	72.5628	1.85584
Smp_133180.2	5414	5246.57	586.437	10.5989
Smp_133170.1	1059	891.573	245	26.057
Smp_020210.1	1882	1714.57	415	22.9513
Smp_133160.1	561	393.716	89	21.435
Smp_020220.1	703	535.573	763.613	135.198
Smp_020220.2	692	524.6	27.387	4.95032
Smp_020200.1	2490	2322.57	283	11.554
Smp_133150.1	2335	2167.57	349	15.2675
Smp_133140.1	2160	1992.57	62	2.95049
Smp_178720.1	441	274.304	16	5.53101
Smp_101840.1	648	480.676	0	0
Smp_178710.1	912	744.573	16	2.03765
Smp_020170.1	6165	5997.57	135	2.13439
Smp_133120.1	2658	2490.57	699.154	26.6189
Smp_133120.2	2640	2472.57	595.846	22.8508
Smp_133110.1	1163	995.573	610	58.0996
Smp_020130.1	2839	2671.57	179	6.35334
Smp_020120.1	858	690.573	232	31.8562
Smp_133100.1	3009	2841.57	43	1.43491
Smp_133090.1	390	224.141	10	4.23054
Smp_133080.1	939	771.573	2	0.245793
Smp_133070.1	1113	945.573	379	38.0067
Smp_155100.1	405	238.826	3	1.19112
Smp_155090.1	477	310.088	6	1.83478
Smp_020090.1	1243	1075.57	99	8.72793
Smp_020080.1	1803	1635.57	476.37	27.6179
Smp_020080.2	999	831.573	56.6303	6.4575
Smp_020070.1	2802	2634.57	1092	39.3033
Smp_020060.1	2945	2777.57	292.976	10.0019
Smp_020050.1	2345	2177.57	919.024	40.0194
Smp_020040.1	3926	3758.57	97.6661	2.46398
Smp_020040.2	1503	1335.57	1160.03	82.3604
Smp_133050.1	4050	3882.57	522	12.7487
Smp_019990.1	2910	2742.57	928	32.0853
Smp_019980.1	1493	1325.57	648	46.354
Smp_019860.1	17508	17340.6	660.244	3.61042
Smp_019880.1	957	789.573	738	88.6299
Smp_019890.1	987	819.573	210	24.2967
Smp_019900.1	1683	1515.57	794.824	49.729
Smp_133020.1	714	546.573	344	59.6796
Smp_191040.1	261	103.86	76	69.3875
Smp_019920.1	1503	1335.57	211	14.9807
Smp_133030.1	465	298.134	35	11.132
Smp_019940.1	2131	1963.57	379.763	18.3393
Smp_019940.4	968	800.573	511.64	60.601
Smp_019940.5	4601	4433.57	133.234	2.84956
Smp_151170.1	846	678.573	0	0
Smp_200380.1	1398	1230.57	130	10.0173
Smp_019950.1	1191	1023.57	2065	191.301
Smp_133040.1	5762	5594.57	126	2.1356
Smp_172790.1	423	256.529	53	19.591
Smp_172780.1	3060	2892.57	237	7.76927
Smp_172800.1	1713	1545.57	385	23.6204
Smp_196590.1	1750	1582.57	152	9.10743
Smp_210750.1	420	253.567	273	102.091
Smp_210760.1	3864	3696.57	165	4.23254
Smp_165980.1	1163	995.573	240	22.8588
Smp_165970.1	2484	2316.57	159	6.5083
Smp_081260.1	2778	2610.57	243	8.82646
Smp_081250.1	2448	2280.57	164	6.81893
Smp_165960.1	1545	1377.57	273	18.7916
Smp_165950.1	1209	1041.57	74	6.73687
Smp_081200.1	909	741.573	116	14.8327
Smp_081190.1	1373	1205.57	393	30.9111
Smp_200390.1	150	26.5823	4.59795	16.4017
Smp_200400.1	222	72.3982	13	17.0268
Smp_165940.1	354	189.1	12	6.01735
Smp_165930.1	4417	4249.57	747	16.6683
Smp_165920.1	5080	4912.57	30.8026	0.594558
Smp_165920.2	4650	4482.57	195.197	4.12917
Smp_081140.1	1354	1186.57	22.8106	1.82288
Smp_173190.1	5084	4916.57	197	3.79944
Smp_131790.1	207	61.3458	160	247.316
Smp_173180.2	1339	1171.57	261.306	21.1493
Smp_173180.1	1507	1339.57	8.69356	0.615385
Smp_093230.1	1328	1160.57	596	48.6956
Smp_093220.1	1995	1827.57	1152	59.7715
Smp_093210.1	1932	1764.57	1061	57.0154
Smp_200410.1	954	786.573	120	14.4663
Smp_167850.1	1718	1550.57	280.153	17.1324
Smp_208090.1	22706	22538.6	763.648	3.21279
Smp_200420.1	219	70.2534	14.6197	19.7327
Smp_024500.4	992	824.573	363.437	41.7942
Smp_024500.1	4355	4187.57	363.767	8.23715
Smp_024490.1	1149	981.573	336	32.4588
Smp_135440.1	276	116.785	0	0
Smp_210830.1	16084	15916.6	529.654	3.15543
Smp_210840.1	1632	1464.57	299.892	19.4164
Smp_098320.1	504	336.927	143	40.2454
Smp_098330.1	2794	2626.57	748	27.004
Smp_014170.2	3202	3034.57	237.223	7.41268
Smp_014170.1	3674	3506.57	1521.78	41.1514
Smp_200690.1	258	101.298	134	125.436
Smp_200700.1	168	36.4567	0	0
